animal_id,created,note,session_id,is_deleted,is_alert
2497,635605544467760000,"New Tag: 12057",10,0,0
2536,635605545234530000,"New EID: 964001009986732",10,0,0
2536,635605545320720000,"Previous Tag: 012115",10,0,0
2536,635605545322210000,"New Tag: 12115",10,0,0
2001,635605545598010000,"New EID: 964001009986716",10,0,0
2001,635605545678820000,"Previous Tag: 012018",10,0,0
2001,635605545680320000,"New Tag: 12018",10,0,0
2507,635605546080460000,"New EID: 964001009986717",10,0,0
2507,635605546149760000,"Previous Tag: 012069",10,0,0
2507,635605546151270000,"New Tag: 12069",10,0,0
2715,635605547457860000,"New EID: 964001009986718",10,0,0
2503,635605548004990000,"New EID: 964001009986720",10,0,0
2503,635605549027090000,"Previous Tag: 012064",10,0,0
2503,635605549029790000,"New Tag: 12064",10,0,0
2503,635605551755310000,"Previous EID: 964001009986720",10,0,0
2446,635605551756770000,"New EID: 964001009986720",10,0,0
2324,635605552589060000,"New EID: 964001009986721",10,0,0
1898,635605553327180000,"New EID: 964001009986719",10,0,0
1898,635605553435450000,"Previous Tag: 011019",10,0,0
1898,635605553438320000,"New Tag: 11019",10,0,0
1926,635605553802690000,"New EID: 964001009986722",10,0,0
1926,635605553912390000,"Previous Tag: 011046",10,0,0
1926,635605553915110000,"New Tag: 11046",10,0,0
2541,635605554137360000,"New EID: 964001009986723",10,0,0
2541,635605554212550000,"Previous Tag: 012123",10,0,0
2541,635605554214050000,"New Tag: 12123",10,0,0
1964,635605554823600000,"New EID: 964001009986724",10,0,0
1964,635605554889230000,"Previous Tag: 012025",10,0,0
1964,635605554891860000,"New Tag: 12025",10,0,0
1950,635605555081220000,"New EID: 964001009986725",10,0,0
1950,635605555149130000,"Previous Tag: 012022",10,0,0
1950,635605555150700000,"New Tag: 12022",10,0,0
1985,635605555658320000,"New EID: 964001009986755",10,0,0
1985,635605555736840000,"Previous Tag: 011010",10,0,0
1985,635605555739470000,"New Tag: 11010",10,0,0
1987,635605555950870000,"New EID: 964001009986746",10,0,0
1987,635605556036850000,"Previous Tag: 012017",10,0,0
1987,635605556038420000,"New Tag: 12017",10,0,0
1984,635605556456900000,"New EID: 964001009986747",10,0,0
1984,635605556544220000,"Previous Tag: 009004",10,0,0
1984,635605556545750000,"New Tag: 9004",10,0,0
2504,635605556721060000,"New EID: 964001009986748",10,0,0
2504,635605557364160000,"Previous Tag: 012065",10,0,0
2504,635605557366890000,"New Tag: 12065",10,0,0
2530,635605557663690000,"New EID: 964001009986749",10,0,0
2530,635605557737880000,"Previous Tag: 012105",10,0,0
2530,635605557739530000,"New Tag: 12105",10,0,0
2511,635605557983380000,"New EID: 964001009986750",10,0,0
2511,635605558055220000,"Previous Tag: 012074",10,0,0
2511,635605558057850000,"New Tag: 12074",10,0,0
2509,635605558228830000,"New EID: 964001009986751",10,0,0
2509,635605558300170000,"Previous Tag: 012071",10,0,0
2509,635605558301730000,"New Tag: 12071",10,0,0
1942,635605558487370000,"New EID: 964001009986752",10,0,0
1942,635605558573510000,"Previous Tag: 012041",10,0,0
1942,635605558576260000,"New Tag: 12041",10,0,0
2716,635605559191080000,"New EID: 964001009986754",10,0,0
2716,635605559277870000,"Previous Tag: 011025",10,0,0
2716,635605559279410000,"New Tag: 11025",10,0,0
2520,635605559630130000,"New EID: 964001009986753",10,0,0
2520,635605559710470000,"Previous Tag: 012087",10,0,0
2520,635605559711970000,"New Tag: 12087",10,0,0
1922,635605560481660000,"New EID: 964001009986745",10,0,0
1922,635605560554630000,"Previous Tag: 009005",10,0,0
1922,635605560556130000,"New Tag: 9005",10,0,0
1900,635605560722010000,"New EID: 964001009986742",10,0,0
1900,635605560810420000,"Previous Tag: 011041",10,0,0
1900,635605560812010000,"New Tag: 11041",10,0,0
1900,635605560912650000,Vinnie,10,0,0
1939,635605561108960000,"New EID: 964001009986743",10,0,0
1939,635605561220730000,"Previous Tag: 012101",10,0,0
1939,635605561222800000,"New Tag: 12101",10,0,0
